Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,pred_numchases,pred_timechases,,,,,
8/15/17,RH3 81517,1,1,6,8D,9,8053,15,19627,3,8918,5,1474,,,,,
8/17/17,RH3 81717,1,2,6,8D,0,0,0,0,2,2183,0,0,,,,,
9/28/17,RH6,1,1,12,8D_2,17,57820,30,88178,14,36538,12,38631,,,,,
10/7/17,RH6,1,1,12,8D_3,0,0,0,0,0,0,0,0,,,,,
8/15/17,RH6 81517,1,1,11,8E,10,19808,22,75351,1,2507,5,3905,,,,,
8/17/17,RH6 81717,"1,2,3,4,5,6,7,8,9,10",2,11,8E,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
8/19/17,RH6,1,3,11,8E,35,71207,13,22354,4,15681,16,20188,,,,,
9/28/17,RH3,2,1,5,8E_2,1,568,28,39585,5,9098,2,1619,,,,,
9/30/17,RH3,1,2,5,8E_2,53,143668,55,127290,24,59813,32,81872,,,,,
10/2/17,RH3,1,3,5,8E_2,12,10058,12,11359,26,60476,11,11454,,,,,
10/7/17,RH3,2,1,5,8E_3,0,0,9,9170,1,6300,0,0,,,,,
10/9/17,RH3,2,2,5,8E_3,1,336,36,37408,17,44906,2,7001,,,,,
8/15/17,RH3 81517,2,1,6,8F,0,0,6,9293,4,9357,0,0,,,,,
8/17/17,RH3 81717,2,2,6,8F,0,0,18,15665,4,3505,0,0,,,,,
8/19/17,RH3 ,1,3,6,8F,0,0,NA,NA,0,0,0,0,,,,,
9/28/17,RH3,2,1,6,8F_2,0,0,38,76068,16,23998,4,3474,,,,,
9/30/17,RH3,1,2,6,8F_2,24,32453,18,16401,28,47910,18,30866,,,,,
8/15/17,RH6 81517,1,1,12,8G,0,0,0,0,0,0,0,0,,,,,
8/17/17,RH6 81717,"1,2,3,4,5,6,7,8,9,10",2,12,8G,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
8/19/17,RH6,1,3,12,8G,0,0,0,0,2,2264,0,0,,,,,
9/28/17,RH6,2,1,11,8G_2,0,0,33,77328,6,5961,0,0,,,,,
9/30/17,RH6,1,2,11,8G_2,47,136157,31,51564,3,4677,NA,NA,,,,,
10/7/17,RH6,2,1,11,8G_3,0,0,25,23031,7,5228,8,9372,,,,,
10/9/17,RH6,2,2,11,8G_3,0,0,11,12672,11,13124,0,0,,,,,
10/11/17,RH6,2,3,11,8G_3,0,0,16,10514,5,6756,0,0,,,,,
9/28/17,RH6,2,1,12,8H_2,2,3694,28,40897,3,8023,1,933,,,,,
9/30/17,RH6,1,2,12,8H_2,15,21543,30,61505,28,80562,NA,NA,,,,,
10/7/17,RH6,2,1,12,8H_3,0,0,0,0,0,0,0,0,,,,,
10/9/17,RH6,2,2,12,8H_3,0,0,0,0,1,726,0,0,,,,,
10/11/17,RH6,2,3,12,8H_3,0,0,0,0,0,0,0,0,,,,,
8/16/17,RH3 81617,2,1,6,8I,0,0,20,37854,0,0,0,0,,,,,
9/29/17,RH3,1,1,5,8I_2,18,45691,23,51226,21,45706,25,57666,,,,,
10/1/17,RH3,1,2,5,8I_2,26,89368,14,40242,22,76964,50,117199,,,,,
